Date,Open,High,Low,Close
24-February-2012,,,,6279.22,
27-February-2012,,,,6245.33,
28-February-2012,,,,6314.63,
29-February-2012,,,,6336.41,
1-March-2012,,,,6352.30,
2-March-2012,,,,6404.95,
3-March-2012,,,,6405.14,
5-March-2012,,,,6350.99,
6-March-2012,,,,6330.97,
7-March-2012,,,,6356.37,
9-March-2012,,,,6444.41,
12-March-2012,,,,6434.49,
13-March-2012,,,,6473.13,
14-March-2012,,,,6513.46,
15-March-2012,,,,6485.22,
16-March-2012,,,,6354.34,
19-March-2012,,,,6356.05,
20-March-2012,,,,6420.43,
21-March-2012,,,,6492.97,
22-March-2012,,,,6416.33,
23-March-2012,,,,6466.76,
26-March-2012,,,,6391.41,
27-March-2012,,,,6432.54,
28-March-2012,,,,6446.40,
29-March-2012,,,,6505.80,
30-March-2012,,,,6625.74,
2-April-2012,,,,6616.94,
3-April-2012,,,,6587.30,
4-April-2012,,,,6569.99,
9-April-2012,,,,6590.81,
10-April-2012,,,,6587.79,
11-April-2012,,,,6625.68,
12-April-2012,,,,6625.73,
13-April-2012,,,,6693.95,
16-April-2012,,,,6694.90,
17-April-2012,,,,6706.83,
18-April-2012,,,,6774.75,
19-April-2012,,,,6854.52,
20-April-2012,,,,6815.95,
23-April-2012,,,,6785.13,
24-April-2012,,,,6761.51,
25-April-2012,,,,6767.31,
26-April-2012,,,,6747.09,
27-April-2012,,,,6752.13,
28-April-2012,,,,6778.08,
30-April-2012,,,,6795.59,
2-May-2012,,,,6797.99,
3-May-2012,,,,6786.77,
4-May-2012,,,,6802.75,
7-May-2012,,,,6793.61,
8-May-2012,,,,6733.78,
9-May-2012,,,,6728.47,
10-May-2012,,,,6706.50,
11-May-2012,,,,6574.07,
14-May-2012,,,,6625.53,
15-May-2012,,,,6689.47,
16-May-2012,,,,6646.16,
17-May-2012,,,,6623.51,
18-May-2012,,,,6617.65,
21-May-2012,,,,6636.43,
22-May-2012,,,,6602.37,
23-May-2012,,,,6612.37,
24-May-2012,,,,6648.70,
25-May-2012,,,,6640.08,
28-May-2012,,,,6677.40,
29-May-2012,,,,6657.45,
30-May-2012,,,,6650.18,
31-May-2012,,,,6645.31,
1-June-2012,,,,6556.96,
4-June-2012,,,,6521.71,
5-June-2012,,,,6546.97,
6-June-2012,,,,6615.55,
7-June-2012,,,,6635.60,
8-June-2012,,,,6634.98,
11-June-2012,,,,6545.80,
12-June-2012,,,,6519.57,
13-June-2012,,,,6549.04,
14-June-2012,,,,6510.92,
15-June-2012,,,,6580.21,
18-June-2012,,,,6534.64,
19-June-2012,,,,6608.60,
20-June-2012,,,,6685.31,
21-June-2012,,,,6715.92,
22-June-2012,,,,6709.57,
25-June-2012,,,,6680.38,
26-June-2012,,,,6723.91,
27-June-2012,,,,6758.77,
28-June-2012,,,,6757.43,
29-June-2012,,,,6883.89,
2-July-2012,,,,6905.04,
3-July-2012,,,,6916.00,
4-July-2012,,,,6910.77,
5-July-2012,,,,6942.34,
6-July-2012,,,,6941.97,
9-July-2012,,,,6896.30,
10-July-2012,,,,6954.61,
11-July-2012,,,,6943.84,
12-July-2012,,,,6938.30,
13-July-2012,,,,6931.01,
16-July-2012,,,,6996.05,
17-July-2012,,,,7045.65,
18-July-2012,,,,7030.25,
19-July-2012,,,,7033.94,
20-July-2012,,,,6989.04,
23-July-2012,,,,6967.29,
24-July-2012,,,,6992.22,
25-July-2012,,,,6995.05,
26-July-2012,,,,6982.76,
27-July-2012,,,,6976.78,
30-July-2012,,,,7092.68,
31-July-2012,,,,7141.64,
1-August-2012,,,,7235.96,
2-August-2012,,,,7233.23,
3-August-2012,,,,7275.17,
6-August-2012,,,,7316.50,
7-August-2012,,,,7309.55,
8-August-2012,,,,7315.89,
9-August-2012,,,,7307.66,
10-August-2012,,,,7291.81,
13-August-2012,,,,7308.14,
14-August-2012,,,,7283.22,
16-August-2012,,,,7289.34,
17-August-2012,,,,7338.52,
21-August-2012,,,,7336.35,
22-August-2012,,,,7363.97,
23-August-2012,,,,7401.69,
24-August-2012,,,,7420.13,
27-August-2012,,,,7407.28,
28-August-2012,,,,7396.84,
29-August-2012,,,,7416.71,
30-August-2012,,,,7471.83,
31-August-2012,,,,7495.60,
3-September-2012,,,,7470.42,
4-September-2012,,,,7467.28,
5-September-2012,,,,7399.68,
6-September-2012,,,,7443.25,
7-September-2012,,,,7550.36,
8-September-2012,,,,7642.13,
10-September-2012,,,,7715.11,
11-September-2012,,,,7738.36,
12-September-2012,,,,7705.34,
13-September-2012,,,,7616.41,
14-September-2012,,,,7521.99,
17-September-2012,,,,7386.08,
18-September-2012,,,,7370.00,
20-September-2012,,,,7343.44,
21-September-2012,,,,7357.80,
24-September-2012,,,,7334.37,
25-September-2012,,,,7378.64,
26-September-2012,,,,7420.41,
27-September-2012,,,,7436.43,
28-September-2012,,,,7528.41,
1-October-2012,,,,7561.31,
3-October-2012,,,,7602.59,
4-October-2012,,,,7532.98,
5-October-2012,,,,7427.15,
8-October-2012,,,,7516.01,
9-October-2012,,,,7601.72,
10-October-2012,,,,7542.96,
11-October-2012,,,,7533.30,
12-October-2012,,,,7570.13,
15-October-2012,,,,7594.69,
16-October-2012,,,,7548.96,
17-October-2012,,,,7579.38,
18-October-2012,,,,7556.61,
19-October-2012,,,,7520.64,
22-October-2012,,,,7601.45,
23-October-2012,,,,7597.02,
25-October-2012,,,,7569.55,
26-October-2012,,,,7478.57,
29-October-2012,,,,7498.69,
30-October-2012,,,,7491.43,
31-October-2012,,,,7620.50,
1-November-2012,,,,7687.55,
2-November-2012,,,,7714.98,
5-November-2012,,,,7743.77,
6-November-2012,,,,7817.38,
7-November-2012,,,,7859.57,
8-November-2012,,,,7804.89,
9-November-2012,,,,7752.75,
12-November-2012,,,,7760.75,
13-November-2012,,,,7768.68,
15-November-2012,,,,7705.60,
16-November-2012,,,,7686.05,
19-November-2012,,,,7628.46,
20-November-2012,,,,7635.17,
21-November-2012,,,,7695.98,
22-November-2012,,,,7731.82,
23-November-2012,,,,7703.04,
26-November-2012,,,,7757.66,
27-November-2012,,,,7836.15,
29-November-2012,,,,7903.69,
30-November-2012,,,,7946.48,
3-December-2012,,,,7961.77,
4-December-2012,,,,7987.59,
5-December-2012,,,,7979.46,
6-December-2012,,,,7976.40,
7-December-2012,,,,7971.07,
10-December-2012,,,,8041.74,
11-December-2012,,,,8039.99,
12-December-2012,,,,8056.33,
13-December-2012,,,,8005.23,
14-December-2012,,,,7982.33,
17-December-2012,,,,8016.26,
18-December-2012,,,,8071.19,
19-December-2012,,,,8198.62,
20-December-2012,,,,8198.73,
21-December-2012,,,,8059.61,
24-December-2012,,,,8124.96,
26-December-2012,,,,8176.61,
27-December-2012,,,,8143.65,
28-December-2012,,,,8127.78,
31-December-2012,,,,8132.35,
1-January-2013,,,,8166.42,
