Date,Open,High,Low,Close
7-September-2009,13099.13,13216.68,13087.31,13209.76,
8-September-2009,13314.48,13426.94,13223.40,13294.60,
9-September-2009,13266.72,13389.56,13164.39,13188.48,
10-September-2009,13323.37,13388.73,13124.39,13192.09,
11-September-2009,13265.65,13334.45,13136.29,13271.55,
14-September-2009,13223.72,13252.73,13132.34,13198.59,
15-September-2009,13260.23,13442.39,13260.23,13395.06,
16-September-2009,13522.58,13566.42,13412.80,13476.74,
17-September-2009,13591.29,13662.84,13454.75,13550.67,
18-September-2009,13495.42,13623.65,13493.07,13594.11,
22-September-2009,13621.74,13767.62,13583.42,13713.37,
23-September-2009,13699.28,13716.43,13465.22,13500.92,
24-September-2009,13386.32,13602.05,13336.83,13553.19,
25-September-2009,13479.93,13644.24,13450.38,13477.32,
29-September-2009,13617.46,13617.46,13482.68,13521.91,
30-September-2009,13553.97,13786.34,13553.97,13757.19,
1-October-2009,13750.98,13793.52,13650.87,13730.74,
5-October-2009,13560.47,13748.39,13560.47,13620.91,
6-October-2009,13677.57,13860.51,13393.00,13822.93,
7-October-2009,13947.81,14223.88,13831.19,13886.86,
8-October-2009,13928.02,14007.74,13753.86,13885.37,
9-October-2009,13980.41,13980.41,13663.13,13687.81,
12-October-2009,13746.35,13882.26,13682.29,13856.08,
14-October-2009,13909.58,14207.70,13909.58,14185.34,
15-October-2009,14270.22,14309.56,14089.76,14197.69,
16-October-2009,14191.63,14343.53,14133.12,14267.80,
17-October-2009,14347.93,14350.88,14199.19,14265.96,
20-October-2009,14318.52,14329.60,14053.93,14093.32,
21-October-2009,14074.54,14192.65,13997.57,14021.05,
22-October-2009,14027.63,14027.63,13579.80,13644.31,
23-October-2009,13759.77,13832.56,13396.60,13447.45,
26-October-2009,13443.93,13520.09,13239.22,13316.06,
27-October-2009,13244.26,13322.32,13006.54,13070.74,
28-October-2009,13038.88,13260.44,12975.24,13156.11,
29-October-2009,12993.45,13072.41,12894.50,12932.69,
30-October-2009,13123.93,13261.40,12780.65,12873.48,
3-November-2009,12820.01,13006.24,12424.86,12462.02,
