Date,Open,High,Low,Close
23-May-2011,2078.69,2080.87,2017.88,2028.36,
24-May-2011,2029.70,2043.06,1983.15,2016.50,
25-May-2011,1989.92,2002.87,1970.41,1990.14,
26-May-2011,1995.79,2026.07,1981.54,2014.79,
27-May-2011,2019.84,2095.14,2019.84,2087.32,
30-May-2011,2090.29,2133.77,2090.29,2124.33,
31-May-2011,2124.33,2180.77,2124.33,2177.97,
1-June-2011,2182.57,2187.35,2151.36,2171.77,
2-June-2011,2156.92,2158.33,2128.38,2144.42,
3-June-2011,2142.79,2182.96,2121.93,2129.89,
6-June-2011,2124.24,2142.43,2108.66,2137.25,
7-June-2011,2133.99,2179.49,2130.18,2172.25,
8-June-2011,2172.99,2182.55,2141.95,2159.40,
9-June-2011,2159.11,2174.64,2145.48,2161.61,
10-June-2011,2163.09,2175.75,2131.75,2144.31,
13-June-2011,2141.63,2147.58,2116.04,2137.95,
14-June-2011,2140.48,2166.23,2140.48,2151.78,
15-June-2011,2154.02,2154.02,2115.73,2122.88,
16-June-2011,2111.71,2139.49,2090.61,2115.06,
17-June-2011,2118.03,2128.30,2096.31,2103.97,
20-June-2011,2107.24,2116.72,2011.93,2016.49,
21-June-2011,2020.36,2027.53,1972.90,1980.62,
22-June-2011,1984.79,1999.44,1931.42,1935.33,
23-June-2011,1933.24,1944.29,1900.75,1928.27,
24-June-2011,1935.12,2007.08,1927.53,2000.71,
27-June-2011,1996.25,2023.13,1977.97,1988.32,
28-June-2011,1991.90,1997.14,1963.71,1981.70,
29-June-2011,1985.73,2008.65,1978.44,1995.99,
30-June-2011,2001.90,2023.27,2001.90,2019.84,
1-July-2011,2026.19,2082.60,2026.19,2080.70,
4-July-2011,2088.82,2160.32,2088.82,2156.83,
5-July-2011,2153.43,2153.43,2119.41,2129.10,
6-July-2011,2125.26,2156.84,2122.87,2135.40,
7-July-2011,2139.68,2186.78,2139.68,2183.40,
8-July-2011,2189.30,2265.25,2183.10,2228.87,
11-July-2011,2223.41,2224.68,2164.68,2172.29,
12-July-2011,2167.87,2167.87,2098.36,2114.13,
13-July-2011,2117.86,2159.17,2117.86,2149.83,
14-July-2011,2144.61,2221.63,2137.38,2198.46,
15-July-2011,2208.93,2239.44,2174.64,2186.65,
18-July-2011,2186.80,2219.58,2182.11,2206.11,
19-July-2011,2202.09,2236.49,2175.88,2230.91,
20-July-2011,2234.64,2257.33,2220.35,2230.36,
21-July-2011,2233.78,2234.55,2191.10,2198.46,
22-July-2011,2205.02,2225.66,2190.87,2204.39,
25-July-2011,2202.00,2235.30,2188.72,2223.21,
26-July-2011,2226.19,2239.67,2139.93,2144.18,
27-July-2011,2143.14,2150.62,2106.15,2123.16,
28-July-2011,2115.41,2115.41,2072.76,2084.97,
29-July-2011,2080.80,2099.47,2029.10,2041.40,
1-August-2011,2049.44,2087.55,2041.32,2050.74,
2-August-2011,2044.93,2044.93,1994.85,2007.93,
3-August-2011,1981.85,1999.56,1936.27,1993.14,
4-August-2011,1996.27,2015.97,1946.30,1950.05,
5-August-2011,1934.70,1934.70,1829.27,1888.97,
8-August-2011,1866.54,1866.54,1789.79,1804.76,
9-August-2011,1784.06,1841.20,1735.91,1797.29,
10-August-2011,1815.53,1863.20,1815.53,1850.87,
11-August-2011,1844.35,1847.40,1816.43,1835.04,
12-August-2011,1841.70,1858.44,1803.57,1807.78,
16-August-2011,1814.15,1825.94,1700.88,1710.54,
17-August-2011,1700.12,1700.83,1628.65,1662.30,
18-August-2011,1659.98,1690.62,1654.88,1661.92,
19-August-2011,1652.36,1680.70,1634.10,1674.74,
22-August-2011,1680.82,1699.59,1654.95,1683.21,
23-August-2011,1687.27,1703.58,1677.83,1685.82,
24-August-2011,1689.29,1706.37,1659.06,1668.75,
25-August-2011,1670.63,1684.73,1652.01,1676.13,
26-August-2011,1674.39,1678.33,1602.40,1607.50,
29-August-2011,1615.75,1694.92,1615.75,1678.74,
30-August-2011,1691.48,1745.75,1691.48,1739.58,
2-September-2011,1726.99,1775.22,1713.82,1769.64,
5-September-2011,1752.56,1786.61,1739.01,1783.91,
6-September-2011,1775.66,1779.22,1712.89,1747.43,
7-September-2011,1753.94,1812.47,1753.94,1807.19,
8-September-2011,1809.79,1827.41,1797.40,1813.38,
9-September-2011,1815.99,1822.22,1772.06,1776.18,
12-September-2011,1766.49,1766.49,1716.31,1720.54,
13-September-2011,1726.04,1765.85,1711.20,1721.45,
14-September-2011,1725.21,1735.27,1701.31,1723.45,
15-September-2011,1727.65,1784.25,1727.65,1779.38,
16-September-2011,1786.33,1810.32,1770.63,1801.79,
19-September-2011,1792.67,1809.04,1771.34,1790.64,
20-September-2011,1790.93,1827.36,1788.89,1822.67,
21-September-2011,1824.84,1842.56,1817.16,1837.71,
22-September-2011,1825.84,1825.84,1726.29,1733.42,
23-September-2011,1721.84,1741.79,1686.84,1723.43,
26-September-2011,1725.46,1727.33,1671.34,1708.47,
27-September-2011,1721.79,1792.23,1721.79,1788.15,
28-September-2011,1787.72,1811.49,1762.31,1794.00,
29-September-2011,1782.27,1804.93,1764.18,1800.46,
30-September-2011,1792.64,1809.51,1754.11,1762.96,
3-October-2011,1750.95,1750.95,1675.85,1682.06,
4-October-2011,1671.21,1700.74,1650.06,1668.97,
5-October-2011,1676.78,1705.16,1673.93,1678.23,
7-October-2011,1701.24,1749.13,1701.24,1735.97,
10-October-2011,1725.85,1793.68,1723.19,1791.84,
11-October-2011,1794.30,1832.00,1779.37,1791.11,
12-October-2011,1793.42,1848.89,1788.09,1844.30,
13-October-2011,1845.45,1877.15,1837.96,1851.79,
14-October-2011,1841.67,1841.67,1811.31,1826.68,
17-October-2011,1825.53,1862.69,1825.53,1836.17,
18-October-2011,1820.70,1820.70,1780.16,1792.44,
19-October-2011,1802.13,1850.05,1802.13,1846.15,
20-October-2011,1832.12,1834.01,1797.36,1808.52,
21-October-2011,1788.41,1806.84,1766.42,1772.54,
24-October-2011,1781.07,1815.62,1781.07,1791.39,
25-October-2011,1797.75,1821.76,1773.24,1815.41,
26-October-2011,1816.56,1832.93,1816.56,1825.28,
28-October-2011,1841.48,1928.59,1841.48,1922.79,
31-October-2011,1918.16,1936.61,1903.38,1919.68,
1-November-2011,1908.10,1930.52,1870.91,1883.80,
2-November-2011,1870.07,1896.05,1862.65,1880.12,
3-November-2011,1874.62,1920.27,1863.07,1909.32,
4-November-2011,1920.46,1952.19,1917.90,1924.61,
8-November-2011,1922.30,1935.61,1882.08,1898.03,
9-November-2011,1899.62,1909.59,1843.09,1851.05,
11-November-2011,1839.04,1839.04,1793.89,1809.53,
