Date,Open,High,Low,Close
21-July-2015,2123.75,2128.55,2089.21,2092.53,
22-July-2015,2087.89,2119.30,2083.72,2114.98,
23-July-2015,2120.68,2124.14,2102.96,2109.26,
24-July-2015,2107.80,2109.08,2084.36,2087.35,
27-July-2015,2084.15,2089.34,2036.65,2040.25,
28-July-2015,2040.75,2056.25,2033.85,2048.98,
29-July-2015,2054.79,2057.30,2042.76,2053.58,
30-July-2015,2059.13,2086.71,2056.37,2077.07,
31-July-2015,2081.28,2091.53,2060.53,2064.56,
3-August-2015,2067.93,2090.17,2066.52,2079.64,
4-August-2015,2079.02,2088.58,2066.68,2080.60,
5-August-2015,2089.34,2105.89,2089.26,2098.37,
6-August-2015,2108.13,2113.35,2092.45,2094.95,
7-August-2015,2097.34,2108.17,2054.36,2064.21,
10-August-2015,2061.45,2084.30,2044.22,2051.24,
11-August-2015,2063.24,2065.20,2022.62,2032.06,
12-August-2015,2030.22,2030.36,1984.65,1988.92,
13-August-2015,1999.11,2014.33,1977.19,1983.97,
14-August-2015,1989.62,2016.02,1988.71,2012.31,
17-August-2015,2014.15,2016.00,1987.43,2002.16,
18-August-2015,2008.07,2014.38,1990.87,1998.78,
19-August-2015,1999.25,2005.45,1984.63,1997.78,
20-August-2015,1999.07,1999.07,1959.77,1960.96,
21-August-2015,1954.42,1954.42,1920.21,1941.37,
24-August-2015,1907.66,1908.10,1770.71,1783.78,
25-August-2015,1778.75,1817.07,1713.44,1799.80,
26-August-2015,1800.97,1837.67,1770.81,1829.34,
27-August-2015,1842.50,1863.17,1827.70,1853.25,
28-August-2015,1868.32,1898.13,1848.42,1863.16,
31-August-2015,1864.63,1870.16,1829.39,1834.40,
1-September-2015,1826.16,1830.64,1791.56,1796.12,
2-September-2015,1811.50,1819.34,1750.96,1752.42,
3-September-2015,1760.97,1792.09,1756.54,1784.09,
4-September-2015,1786.24,1786.24,1717.18,1729.99,
7-September-2015,1739.33,1740.47,1691.35,1696.81,
8-September-2015,1700.29,1758.52,1696.16,1750.55,
9-September-2015,1776.65,1793.39,1765.11,1790.94,
10-September-2015,1775.85,1794.42,1748.54,1787.57,
11-September-2015,1799.28,1804.23,1779.15,1785.80,
14-September-2015,1801.11,1833.02,1785.37,1830.47,
15-September-2015,1832.77,1837.70,1818.57,1823.09,
16-September-2015,1831.26,1840.34,1812.94,1835.82,
18-September-2015,1849.00,1867.26,1846.43,1852.23,
21-September-2015,1846.33,1877.34,1835.62,1872.23,
22-September-2015,1879.49,1882.12,1805.35,1814.31,
23-September-2015,1803.57,1817.03,1795.23,1808.72,
24-September-2015,1813.42,1817.57,1793.50,1808.93,
28-September-2015,1814.32,1823.26,1794.99,1798.39,
29-September-2015,1785.53,1824.43,1771.18,1807.75,
30-September-2015,1819.98,1847.19,1815.97,1841.70,
1-October-2015,1851.23,1860.30,1829.26,1831.49,
5-October-2015,1841.70,1879.00,1840.54,1873.75,
6-October-2015,1880.99,1894.23,1870.25,1873.89,
7-October-2015,1879.28,1900.97,1874.72,1898.30,
8-October-2015,1902.91,1904.34,1880.56,1889.07,
9-October-2015,1897.23,1908.85,1881.35,1887.16,
12-October-2015,1891.40,1916.45,1888.63,1905.02,
13-October-2015,1909.20,1916.63,1903.86,1910.48,
14-October-2015,1914.05,1916.72,1893.36,1897.05,
15-October-2015,1899.74,1924.24,1899.74,1919.38,
16-October-2015,1927.22,1936.62,1916.82,1931.83,
19-October-2015,1937.01,1938.65,1918.65,1927.01,
20-October-2015,1929.06,1965.41,1926.37,1953.25,
21-October-2015,1958.75,1963.14,1934.81,1947.55,
23-October-2015,1958.56,1970.22,1951.86,1955.22,
26-October-2015,1963.01,1969.07,1953.85,1964.23,
27-October-2015,1967.15,1970.56,1955.78,1958.91,
28-October-2015,1952.61,1957.70,1925.73,1929.97,
29-October-2015,1932.67,1935.71,1902.19,1908.57,
30-October-2015,1916.85,1952.26,1910.28,1917.11,
2-November-2015,1917.53,1921.69,1895.34,1913.66,
3-November-2015,1922.34,1937.07,1921.38,1926.36,
4-November-2015,1937.29,1943.03,1917.19,1919.68,
5-November-2015,1921.11,1931.69,1894.45,1898.13,
6-November-2015,1912.77,1916.47,1867.05,1878.99,
9-November-2015,1848.98,1874.40,1832.11,1868.44,
10-November-2015,1875.38,1876.35,1832.49,1835.30,
11-November-2015,1852.50,1858.74,1849.74,1853.67,
13-November-2015,1841.46,1856.33,1832.68,1848.20,
16-November-2015,1848.88,1859.42,1840.88,1855.52,
17-November-2015,1860.38,1870.87,1849.34,1861.84,
18-November-2015,1858.20,1884.70,1850.88,1853.93,
19-November-2015,1859.87,1871.71,1855.89,1866.74,
20-November-2015,1868.95,1887.63,1867.15,1874.33,
23-November-2015,1878.32,1885.79,1869.50,1876.26,
24-November-2015,1880.34,1883.49,1866.63,1869.36,
26-November-2015,1872.81,1890.25,1870.50,1887.91,
27-November-2015,1893.02,1906.10,1884.12,1891.48,
30-November-2015,1898.27,1909.24,1894.21,1901.85,
1-December-2015,1909.47,1919.85,1905.45,1910.23,
2-December-2015,1911.01,1917.00,1898.92,1910.14,
3-December-2015,1911.21,1916.71,1893.98,1897.27,
4-December-2015,1895.89,1895.89,1861.26,1863.56,
7-December-2015,1871.69,1873.50,1859.00,1864.98,
8-December-2015,1861.99,1867.66,1828.36,1831.38,
9-December-2015,1833.01,1837.16,1815.07,1819.07,
10-December-2015,1818.29,1839.68,1817.08,1837.87,
11-December-2015,1844.16,1844.90,1802.30,1811.43,
14-December-2015,1809.74,1826.23,1801.99,1817.79,
15-December-2015,1818.17,1822.97,1807.80,1820.02,
16-December-2015,1828.89,1856.23,1828.89,1843.72,
17-December-2015,1854.88,1873.37,1846.51,1870.36,
18-December-2015,1871.58,1881.91,1864.96,1872.83,
21-December-2015,1872.30,1896.02,1871.98,1893.59,
22-December-2015,1898.07,1905.93,1884.53,1886.65,
23-December-2015,1891.93,1914.00,1891.60,1911.15,
24-December-2015,1920.52,1927.32,1915.04,1924.00,
28-December-2015,1928.73,1945.25,1928.47,1941.88,
