Date,Open,High,Low,Close
17-May-2013,,,,5946.56,
20-May-2013,,,,5982.60,
21-May-2013,,,,6030.51,
22-May-2013,,,,6038.23,
23-May-2013,,,,5999.38,
24-May-2013,,,,5954.82,
27-May-2013,,,,6025.25,
28-May-2013,,,,6061.33,
29-May-2013,,,,6022.75,
30-May-2013,,,,6012.87,
31-May-2013,,,,6065.34,
3-June-2013,,,,6126.89,
4-June-2013,,,,6099.11,
5-June-2013,,,,6052.66,
6-June-2013,,,,6041.96,
7-June-2013,,,,6138.27,
10-June-2013,,,,6200.13,
11-June-2013,,,,6159.08,
12-June-2013,,,,6069.56,
13-June-2013,,,,5968.53,
14-June-2013,,,,5993.06,
17-June-2013,,,,6038.45,
18-June-2013,,,,6072.74,
19-June-2013,,,,6056.12,
20-June-2013,,,,5926.37,
21-June-2013,,,,6011.27,
24-June-2013,,,,5948.02,
25-June-2013,,,,5919.19,
26-June-2013,,,,6019.03,
27-June-2013,,,,6208.70,
28-June-2013,,,,6255.10,
1-July-2013,,,,6154.87,
2-July-2013,,,,6114.98,
3-July-2013,,,,6078.15,
4-July-2013,,,,6244.37,
5-July-2013,,,,6226.41,
8-July-2013,,,,6246.22,
9-July-2013,,,,6279.56,
10-July-2013,,,,6321.04,
11-July-2013,,,,6411.42,
12-July-2013,,,,6825.82,
15-July-2013,,,,6823.74,
16-July-2013,,,,6809.45,
17-July-2013,,,,6877.71,
18-July-2013,,,,6903.51,
19-July-2013,,,,7097.29,
22-July-2013,,,,7149.11,
23-July-2013,,,,7181.07,
24-July-2013,,,,7255.36,
25-July-2013,,,,7245.31,
26-July-2013,,,,7241.32,
29-July-2013,,,,7296.80,
30-July-2013,,,,7362.92,
31-July-2013,,,,7458.19,
1-August-2013,,,,7443.75,
2-August-2013,,,,7515.35,
5-August-2013,,,,7582.92,
6-August-2013,,,,7548.15,
7-August-2013,,,,7427.10,
8-August-2013,,,,7467.64,
12-August-2013,,,,7512.80,
13-August-2013,,,,7645.26,
14-August-2013,,,,7616.03,
16-August-2013,,,,7443.59,
19-August-2013,,,,7466.78,
20-August-2013,,,,7362.05,
21-August-2013,,,,7257.55,
22-August-2013,,,,7442.49,
23-August-2013,,,,7544.75,
26-August-2013,,,,7616.90,
27-August-2013,,,,7628.73,
28-August-2013,,,,7833.51,
29-August-2013,,,,7905.42,
30-August-2013,,,,8027.55,
2-September-2013,,,,8038.65,
3-September-2013,,,,7925.38,
4-September-2013,,,,8095.94,
5-September-2013,,,,7857.36,
6-September-2013,,,,7856.42,
10-September-2013,,,,8030.94,
11-September-2013,,,,8011.83,
12-September-2013,,,,7915.38,
13-September-2013,,,,7802.40,
16-September-2013,,,,7657.87,
17-September-2013,,,,7822.59,
18-September-2013,,,,7834.41,
19-September-2013,,,,7819.13,
20-September-2013,,,,7810.87,
23-September-2013,,,,7882.21,
24-September-2013,,,,7845.80,
25-September-2013,,,,7849.90,
26-September-2013,,,,7829.40,
27-September-2013,,,,7834.89,
30-September-2013,,,,7839.26,
1-October-2013,,,,7846.17,
3-October-2013,,,,8033.90,
4-October-2013,,,,8021.65,
7-October-2013,,,,8118.87,
8-October-2013,,,,8098.43,
9-October-2013,,,,8220.60,
10-October-2013,,,,8256.85,
11-October-2013,,,,8514.18,
14-October-2013,,,,8711.87,
15-October-2013,,,,8764.77,
17-October-2013,,,,8449.78,
18-October-2013,,,,8546.81,
21-October-2013,,,,8501.85,
22-October-2013,,,,8544.49,
23-October-2013,,,,8465.03,
24-October-2013,,,,8315.25,
25-October-2013,,,,8443.43,
28-October-2013,,,,8411.62,
29-October-2013,,,,8450.17,
30-October-2013,,,,8462.72,
31-October-2013,,,,8477.73,
1-November-2013,,,,8437.43,
3-November-2013,,,,8454.24,
5-November-2013,,,,8345.82,
6-November-2013,,,,8462.12,
7-November-2013,,,,8567.56,
8-November-2013,,,,8561.89,
11-November-2013,,,,8575.61,
12-November-2013,,,,8526.79,
13-November-2013,,,,8471.57,
14-November-2013,,,,8462.29,
18-November-2013,,,,8576.98,
19-November-2013,,,,8600.64,
20-November-2013,,,,8512.12,
21-November-2013,,,,8376.97,
22-November-2013,,,,8384.21,
25-November-2013,,,,8380.41,
26-November-2013,,,,8356.15,
27-November-2013,,,,8301.30,
28-November-2013,,,,8341.31,
29-November-2013,,,,8414.25,
2-December-2013,,,,8449.80,
3-December-2013,,,,8461.50,
4-December-2013,,,,8469.09,
5-December-2013,,,,8426.29,
6-December-2013,,,,8421.48,
9-December-2013,,,,8466.56,
10-December-2013,,,,8641.68,
11-December-2013,,,,8618.43,
12-December-2013,,,,8556.72,
13-December-2013,,,,8556.86,
16-December-2013,,,,8690.49,
17-December-2013,,,,8710.46,
18-December-2013,,,,8752.87,
19-December-2013,,,,8904.80,
20-December-2013,,,,9052.18,
23-December-2013,,,,8963.89,
24-December-2013,,,,8962.53,
26-December-2013,,,,8991.05,
27-December-2013,,,,9144.98,
30-December-2013,,,,9067.39,
31-December-2013,,,,9081.78,
1-January-2014,,,,9022.33,
2-January-2014,,,,9031.96,
3-January-2014,,,,9229.68,
6-January-2014,,,,9184.24,
7-January-2014,,,,9066.16,
8-January-2014,,,,9073.63,
9-January-2014,,,,9116.48,
10-January-2014,,,,9313.63,
13-January-2014,,,,9585.23,
14-January-2014,,,,9521.17,
15-January-2014,,,,9587.93,
16-January-2014,,,,9642.08,
17-January-2014,,,,9395.97,
20-January-2014,,,,9661.46,
21-January-2014,,,,9595.28,
22-January-2014,,,,9613.60,
23-January-2014,,,,9592.78,
24-January-2014,,,,9529.91,
27-January-2014,,,,9469.09,
28-January-2014,,,,9368.86,
29-January-2014,,,,9421.69,
30-January-2014,,,,9408.56,
31-January-2014,,,,9476.62,
3-February-2014,,,,9321.09,
4-February-2014,,,,9154.99,
5-February-2014,,,,9242.29,
6-February-2014,,,,9226.67,
7-February-2014,,,,9169.05,
10-February-2014,,,,9130.38,
11-February-2014,,,,9220.37,
12-February-2014,,,,9242.79,
13-February-2014,,,,9234.57,
14-February-2014,,,,9363.17,
17-February-2014,,,,9379.12,
18-February-2014,,,,9377.44,
19-February-2014,,,,9515.97,
20-February-2014,,,,9458.37,
21-February-2014,,,,9568.51,
24-February-2014,,,,9532.07,
25-February-2014,,,,9618.06,
26-February-2014,,,,9653.20,
28-February-2014,,,,9792.25,
3-March-2014,,,,9669.72,
4-March-2014,,,,9668.54,
5-March-2014,,,,9686.91,
6-March-2014,,,,9711.57,
7-March-2014,,,,9520.00,
10-March-2014,,,,9289.87,
11-March-2014,,,,9303.07,
12-March-2014,,,,9355.38,
13-March-2014,,,,8975.77,
14-March-2014,,,,8940.05,
18-March-2014,,,,8867.10,
19-March-2014,,,,8668.13,
20-March-2014,,,,8814.61,
21-March-2014,,,,8872.10,
22-March-2014,,,,8871.91,
24-March-2014,,,,8870.31,
25-March-2014,,,,8802.19,
26-March-2014,,,,8722.65,
27-March-2014,,,,8714.12,
28-March-2014,,,,8774.41,
31-March-2014,,,,8789.38,
1-April-2014,,,,8934.45,
2-April-2014,,,,8966.00,
3-April-2014,,,,8964.19,
4-April-2014,,,,8878.67,
7-April-2014,,,,8867.35,
9-April-2014,,,,8770.87,
10-April-2014,,,,8701.06,
11-April-2014,,,,8835.09,
15-April-2014,,,,9025.64,
16-April-2014,,,,8800.81,
17-April-2014,,,,8907.19,
21-April-2014,,,,8846.27,
22-April-2014,,,,8798.05,
23-April-2014,,,,8796.17,
25-April-2014,,,,8786.98,
28-April-2014,,,,8781.19,
29-April-2014,,,,8775.31,
30-April-2014,,,,8751.78,
2-May-2014,,,,8847.03,
5-May-2014,,,,8762.01,
6-May-2014,,,,8716.98,
7-May-2014,,,,8491.49,
8-May-2014,,,,8512.20,
9-May-2014,,,,8580.01,
12-May-2014,,,,8668.90,
13-May-2014,,,,8893.13,
14-May-2014,,,,8865.93,
15-May-2014,,,,8838.16,
16-May-2014,,,,8642.14,
19-May-2014,,,,8214.41,
20-May-2014,,,,8387.45,
21-May-2014,,,,8453.48,
22-May-2014,,,,8427.68,
23-May-2014,,,,8440.06,
26-May-2014,,,,8563.69,
27-May-2014,,,,8588.65,
28-May-2014,,,,8719.30,
29-May-2014,,,,8419.51,
30-May-2014,,,,8455.36,
2-June-2014,,,,8457.53,
3-June-2014,,,,8454.46,
4-June-2014,,,,8346.87,
5-June-2014,,,,8454.23,
6-June-2014,,,,8401.07,
9-June-2014,,,,8472.13,
10-June-2014,,,,8668.95,
11-June-2014,,,,8862.48,
12-June-2014,,,,8883.66,
13-June-2014,,,,8895.53,
16-June-2014,,,,9032.49,
17-June-2014,,,,9070.61,
18-June-2014,,,,8976.02,
19-June-2014,,,,9145.22,
20-June-2014,,,,9148.53,
23-June-2014,,,,9005.78,
24-June-2014,,,,9033.93,
25-June-2014,,,,9047.00,
26-June-2014,,,,9049.38,
27-June-2014,,,,9270.97,
30-June-2014,,,,9346.10,
1-July-2014,,,,9258.78,
2-July-2014,,,,9263.31,
3-July-2014,,,,9294.35,
4-July-2014,,,,9311.19,
7-July-2014,,,,9555.78,
8-July-2014,,,,9455.41,
9-July-2014,,,,9331.15,
10-July-2014,,,,9248.24,
11-July-2014,,,,9379.25,
14-July-2014,,,,9260.14,
15-July-2014,,,,9244.11,
16-July-2014,,,,9261.06,
17-July-2014,,,,9268.04,
18-July-2014,,,,9400.51,
21-July-2014,,,,9374.14,
22-July-2014,,,,9541.37,
23-July-2014,,,,9754.95,
24-July-2014,,,,9842.74,
25-July-2014,,,,9789.42,
28-July-2014,,,,9825.81,
30-July-2014,,,,9801.53,
31-July-2014,,,,9742.34,
1-August-2014,,,,9594.60,
4-August-2014,,,,9794.11,
5-August-2014,,,,9828.58,
6-August-2014,,,,9894.21,
7-August-2014,,,,9768.39,
8-August-2014,,,,9730.77,
11-August-2014,,,,9796.19,
12-August-2014,,,,9808.25,
13-August-2014,,,,9882.31,
14-August-2014,,,,9874.73,
18-August-2014,,,,9834.38,
19-August-2014,,,,9778.73,
20-August-2014,,,,9800.98,
21-August-2014,,,,9788.49,
22-August-2014,,,,9948.19,
25-August-2014,,,,10044.24,
26-August-2014,,,,10067.96,
27-August-2014,,,,10143.45,
28-August-2014,,,,10085.87,
1-September-2014,,,,10123.71,
2-September-2014,,,,10142.24,
3-September-2014,,,,10395.30,
4-September-2014,,,,10352.12,
5-September-2014,,,,10405.00,
8-September-2014,,,,10531.53,
9-September-2014,,,,10444.86,
10-September-2014,,,,10333.88,
11-September-2014,,,,10334.38,
12-September-2014,,,,10338.63,
15-September-2014,,,,10239.56,
16-September-2014,,,,10211.73,
17-September-2014,,,,10367.30,
18-September-2014,,,,10427.27,
19-September-2014,,,,10571.84,
22-September-2014,,,,10543.32,
23-September-2014,,,,10475.44,
24-September-2014,,,,10461.10,
25-September-2014,,,,10578.38,
26-September-2014,,,,10522.02,
29-September-2014,,,,10716.06,
30-September-2014,,,,10687.59,
1-October-2014,,,,10895.40,
7-October-2014,,,,10806.70,
8-October-2014,,,,10434.56,
9-October-2014,,,,10441.38,
10-October-2014,,,,10680.74,
13-October-2014,,,,10805.20,
14-October-2014,,,,10721.68,
16-October-2014,,,,10553.41,
17-October-2014,,,,10130.95,
20-October-2014,,,,10047.20,
21-October-2014,,,,10071.19,
22-October-2014,,,,10142.88,
23-October-2014,,,,10156.75,
27-October-2014,,,,10101.50,
28-October-2014,,,,10137.08,
29-October-2014,,,,10285.91,
30-October-2014,,,,10496.13,
31-October-2014,,,,10701.99,
3-November-2014,,,,10718.73,
5-November-2014,,,,10797.38,
7-November-2014,,,,10820.55,
10-November-2014,,,,10813.82,
11-November-2014,,,,10773.94,
12-November-2014,,,,10762.53,
13-November-2014,,,,10868.64,
14-November-2014,,,,10892.17,
17-November-2014,,,,10923.47,
18-November-2014,,,,10841.66,
19-November-2014,,,,10864.08,
20-November-2014,,,,11001.73,
21-November-2014,,,,10922.98,
24-November-2014,,,,11125.68,
25-November-2014,,,,11112.28,
26-November-2014,,,,11094.24,
27-November-2014,,,,11213.54,
28-November-2014,,,,11207.45,
1-December-2014,,,,11301.29,
2-December-2014,,,,11134.09,
3-December-2014,,,,11112.91,
4-December-2014,,,,11059.69,
5-December-2014,,,,10857.23,
8-December-2014,,,,10512.34,
9-December-2014,,,,10485.74,
10-December-2014,,,,10462.72,
11-December-2014,,,,10339.62,
12-December-2014,,,,10296.76,
15-December-2014,,,,10096.67,
16-December-2014,,,,10264.63,
17-December-2014,,,,10246.35,
18-December-2014,,,,10357.85,
19-December-2014,,,,10560.26,
22-December-2014,,,,10574.03,
23-December-2014,,,,10479.16,
24-December-2014,,,,10334.39,
26-December-2014,,,,10422.16,
29-December-2014,,,,10493.10,
30-December-2014,,,,10531.92,
31-December-2014,,,,10583.98,
1-January-2015,,,,10593.63,
2-January-2015,,,,10721.12,
5-January-2015,,,,10612.39,
6-January-2015,,,,10344.00,
7-January-2015,,,,10293.35,
8-January-2015,,,,10387.42,
9-January-2015,,,,10752.26,
12-January-2015,,,,10893.82,
13-January-2015,,,,10842.72,
14-January-2015,,,,10959.55,
15-January-2015,,,,11017.67,
16-January-2015,,,,10990.97,
19-January-2015,,,,10989.72,
20-January-2015,,,,11035.20,
21-January-2015,,,,11141.49,
22-January-2015,,,,11191.07,
23-January-2015,,,,11228.25,
27-January-2015,,,,11042.23,
28-January-2015,,,,11152.77,
29-January-2015,,,,11156.44,
30-January-2015,,,,11178.71,
2-February-2015,,,,11290.22,
3-February-2015,,,,11307.93,
4-February-2015,,,,11285.02,
5-February-2015,,,,11521.21,
6-February-2015,,,,11623.84,
9-February-2015,,,,11618.65,
10-February-2015,,,,11532.88,
11-February-2015,,,,11611.09,
12-February-2015,,,,11731.78,
13-February-2015,,,,11811.86,
16-February-2015,,,,11832.21,
18-February-2015,,,,11961.16,
19-February-2015,,,,12056.20,
20-February-2015,,,,11906.55,
23-February-2015,,,,11870.67,
24-February-2015,,,,11914.55,
25-February-2015,,,,11968.21,
26-February-2015,,,,11797.41,
27-February-2015,,,,11879.03,
28-February-2015,,,,11969.48,
2-March-2015,,,,11971.61,
3-March-2015,,,,12144.86,
4-March-2015,,,,12022.38,
5-March-2015,,,,11952.32,
9-March-2015,,,,11706.61,
10-March-2015,,,,11716.96,
11-March-2015,,,,11674.52,
12-March-2015,,,,11739.85,
13-March-2015,,,,11621.74,
16-March-2015,,,,11757.17,
17-March-2015,,,,11720.07,
18-March-2015,,,,11609.99,
19-March-2015,,,,11600.38,
20-March-2015,,,,11699.60,
23-March-2015,,,,11578.94,
24-March-2015,,,,11520.53,
25-March-2015,,,,11558.78,
26-March-2015,,,,11255.31,
27-March-2015,,,,11313.95,
30-March-2015,,,,11427.43,
31-March-2015,,,,11404.12,
1-April-2015,11374.04,11374.04,11222.54,11277.35,
6-April-2015,11305.71,11318.65,11207.05,11296.57,
7-April-2015,11336.19,11409.90,11236.17,11332.75,
8-April-2015,11374.32,11597.72,11374.32,11557.20,
9-April-2015,11657.53,11661.73,11518.57,11615.55,
10-April-2015,11599.69,11680.80,11594.10,11643.68,
13-April-2015,11666.83,11692.67,11571.72,11672.30,
15-April-2015,,,,11501.95,
16-April-2015,11520.75,11537.82,11293.46,11396.98,
17-April-2015,11349.59,11349.59,11124.31,11168.78,
20-April-2015,11174.72,11187.66,10923.83,10936.28,
21-April-2015,10852.69,10978.99,10794.71,10933.97,
22-April-2015,10913.68,10973.92,10728.64,10861.19,
23-April-2015,10921.95,10926.44,10788.53,10825.97,
24-April-2015,10832.25,10913.35,10466.14,10525.16,
27-April-2015,10571.06,10590.09,10343.36,10491.13,
28-April-2015,10488.82,10488.82,10385.71,10449.94,
29-April-2015,10451.51,10549.25,10364.39,10495.18,
30-April-2015,10475.16,10475.16,10326.31,10410.98,
4-May-2015,10485.56,10612.30,10448.55,10585.87,
5-May-2015,10633.24,10659.82,10520.97,10576.98,
6-May-2015,10583.22,10593.75,10339.69,10353.95,
7-May-2015,10366.20,10567.87,10317.13,10523.17,
8-May-2015,10601.34,10666.48,10538.76,10579.18,
11-May-2015,10630.41,10743.52,10591.99,10720.61,
12-May-2015,10743.71,10743.71,10507.90,10529.38,
13-May-2015,10569.22,10630.74,10464.81,10584.90,
14-May-2015,10613.04,10613.10,10436.64,10509.55,
15-May-2015,10513.69,10623.57,10513.69,10578.00,
18-May-2015,10605.09,10698.42,10559.30,10679.60,
19-May-2015,10676.12,10812.47,10668.03,10757.80,
20-May-2015,10820.52,10963.31,10820.52,10948.77,
21-May-2015,10960.56,11016.01,10949.34,10977.79,
22-May-2015,10976.19,11094.15,10927.33,11077.65,
25-May-2015,11067.55,11143.18,10973.69,10995.48,
26-May-2015,10989.62,11020.66,10926.35,10957.17,
27-May-2015,10864.44,10864.49,10724.42,10751.65,
28-May-2015,10750.28,10854.06,10700.97,10823.57,
29-May-2015,10829.28,10981.83,10795.73,10910.45,
1-June-2015,10919.66,10982.14,10884.87,10907.09,
2-June-2015,10940.55,10950.16,10733.69,10752.69,
3-June-2015,10810.25,10894.64,10718.70,10770.34,
4-June-2015,10814.79,10871.51,10736.95,10792.03,
5-June-2015,10795.30,10850.29,10697.25,10705.99,
8-June-2015,10743.27,10752.19,10627.10,10660.73,
9-June-2015,10679.47,10685.95,10569.51,10585.79,
10-June-2015,10632.76,10835.91,10580.91,10805.53,
11-June-2015,10837.93,10874.76,10622.43,10646.61,
12-June-2015,10650.65,10696.96,10361.99,10474.24,
15-June-2015,10429.86,10570.21,10342.12,10507.87,
16-June-2015,10535.65,10553.90,10466.79,10537.83,
17-June-2015,10571.11,10658.14,10521.71,10545.99,
18-June-2015,10563.24,10647.99,10562.52,10602.72,
19-June-2015,10639.69,10714.60,10609.73,10633.21,
22-June-2015,10686.28,10845.54,10651.86,10830.91,
23-June-2015,10849.86,10871.35,10697.25,10714.08,
24-June-2015,10753.53,10770.55,10654.31,10679.72,
25-June-2015,10696.11,10706.75,10553.77,10575.06,
26-June-2015,10593.50,10746.09,10593.50,10719.36,
29-June-2015,10571.65,10611.14,10420.49,10537.26,
30-June-2015,10531.64,10539.15,10432.43,10449.45,
1-July-2015,10486.14,10625.09,10472.09,10604.12,
2-July-2015,10640.39,10642.07,10544.22,10560.18,
3-July-2015,10560.40,10605.15,10523.06,10589.68,
6-July-2015,10501.05,10620.23,10474.70,10593.24,
7-July-2015,10621.84,10656.96,10536.13,10553.51,
8-July-2015,10534.16,10535.71,10373.35,10398.08,
9-July-2015,10417.65,10453.37,10176.44,10199.61,
10-July-2015,10302.77,10317.70,10124.47,10156.38,
13-July-2015,10198.05,10354.20,10196.34,10330.30,
14-July-2015,10355.39,10444.53,10287.77,10421.78,
15-July-2015,10438.12,10560.31,10426.10,10546.29,
16-July-2015,10584.10,10607.04,10525.69,10579.68,
17-July-2015,10598.58,10700.06,10596.07,10678.00,
20-July-2015,10687.53,10742.25,10609.94,10698.12,
21-July-2015,10793.09,11316.81,10793.09,11187.32,
22-July-2015,11160.69,11191.50,11012.55,11142.24,
23-July-2015,11150.72,11221.77,11038.38,11070.29,
24-July-2015,11105.45,11115.54,10976.52,11004.93,
27-July-2015,10998.79,10998.79,10854.83,10876.83,
