Date,Open,High,Low,Close
30-April-2012,,,,4772.07,
2-May-2012,,,,4782.21,
3-May-2012,,,,4766.79,
4-May-2012,,,,4714.30,
7-May-2012,,,,4680.56,
8-May-2012,,,,4565.79,
9-May-2012,,,,4688.83,
10-May-2012,,,,4677.21,
11-May-2012,,,,4617.93,
14-May-2012,,,,4631.02,
15-May-2012,,,,4601.44,
16-May-2012,,,,4557.73,
17-May-2012,,,,4644.40,
18-May-2012,,,,4697.56,
21-May-2012,,,,4642.71,
22-May-2012,,,,4601.48,
23-May-2012,,,,4597.27,
24-May-2012,,,,4611.39,
25-May-2012,,,,4590.25,
28-May-2012,,,,4631.05,
29-May-2012,,,,4588.09,
30-May-2012,,,,4579.55,
31-May-2012,,,,4574.26,
1-June-2012,,,,4591.16,
4-June-2012,,,,4520.94,
5-June-2012,,,,4471.66,
6-June-2012,,,,4603.50,
7-June-2012,,,,4639.67,
8-June-2012,,,,4680.77,
11-June-2012,,,,4689.61,
12-June-2012,,,,4728.89,
13-June-2012,,,,4779.02,
14-June-2012,,,,4770.59,
15-June-2012,,,,4838.87,
18-June-2012,,,,4757.67,
19-June-2012,,,,4832.84,
20-June-2012,,,,4822.95,
21-June-2012,,,,4885.59,
22-June-2012,,,,4875.32,
25-June-2012,,,,4869.17,
26-June-2012,,,,4825.39,
27-June-2012,,,,4848.62,
28-June-2012,,,,4888.45,
29-June-2012,,,,4992.03,
2-July-2012,,,,4887.95,
3-July-2012,,,,4850.96,
4-July-2012,,,,4827.94,
5-July-2012,,,,4877.68,
6-July-2012,,,,4910.21,
9-July-2012,,,,4880.55,
10-July-2012,,,,4965.73,
11-July-2012,,,,4909.15,
12-July-2012,,,,4898.72,
13-July-2012,,,,4909.59,
16-July-2012,,,,4892.35,
17-July-2012,,,,4939.19,
18-July-2012,,,,4938.22,
19-July-2012,,,,4937.41,
20-July-2012,,,,4937.80,
23-July-2012,,,,4877.32,
24-July-2012,,,,4970.33,
25-July-2012,,,,4990.77,
26-July-2012,,,,4912.30,
27-July-2012,,,,4978.47,
