Date,Open,High,Low,Close
19-June-2007,4636.75,4703.93,4623.87,4697.47,
20-June-2007,4718.43,4771.09,4711.38,4762.06,
21-June-2007,4770.01,4819.54,4770.01,4796.07,
22-June-2007,4795.37,4816.88,4776.37,4805.03,
25-June-2007,4803.34,4822.05,4750.91,4766.06,
26-June-2007,4769.24,4801.55,4752.15,4788.09,
27-June-2007,4776.30,4780.05,4739.61,4746.24,
28-June-2007,4748.69,4765.35,4703.90,4714.18,
29-June-2007,4725.98,4754.23,4725.98,4739.57,
2-July-2007,4732.16,4811.40,4721.50,4791.06,
3-July-2007,4809.88,4819.86,4791.41,4803.31,
4-July-2007,4815.65,4852.42,4799.65,4837.65,
5-July-2007,4848.80,4888.75,4824.86,4881.94,
6-July-2007,4890.15,4926.09,4864.11,4903.45,
9-July-2007,4913.48,4933.48,4885.60,4888.89,
10-July-2007,4892.16,4963.88,4892.16,4945.84,
11-July-2007,4931.08,4957.18,4903.65,4920.28,
12-July-2007,4915.12,5017.05,4915.12,5006.55,
13-July-2007,5065.73,5079.12,5037.36,5058.45,
16-July-2007,5017.03,5105.09,5017.03,5080.79,
17-July-2007,5083.95,5110.98,5013.87,5017.93,
18-July-2007,5015.95,5059.98,4991.90,5051.90,
19-July-2007,5058.34,5177.97,5058.34,5147.58,
20-July-2007,5167.49,5202.82,5107.97,5125.21,
23-July-2007,5125.12,5209.50,5083.47,5198.49,
24-July-2007,5213.89,5226.56,5117.05,5125.51,
25-July-2007,5117.39,5117.39,5004.65,5022.80,
26-July-2007,5024.09,5132.87,5024.09,5096.44,
27-July-2007,5043.35,5043.35,4926.35,4943.50,
30-July-2007,4929.83,4950.83,4883.88,4925.47,
31-July-2007,4886.34,4975.50,4867.98,4933.83,
1-August-2007,4894.93,4894.93,4759.87,4771.54,
2-August-2007,4854.97,4854.97,4732.26,4747.08,
3-August-2007,4755.84,4819.08,4755.84,4796.65,
6-August-2007,4753.55,4767.54,4682.00,4746.12,
7-August-2007,4775.94,4811.64,4731.99,4743.80,
8-August-2007,4716.49,4821.66,4716.49,4810.74,
9-August-2007,4823.64,4891.45,4762.25,4769.15,
10-August-2007,4714.14,4747.38,4638.88,4736.40,
13-August-2007,4742.38,4831.76,4742.38,4825.93,
14-August-2007,4844.01,4848.69,4802.61,4811.59,
16-August-2007,4709.51,4709.51,4629.60,4662.17,
17-August-2007,4650.37,4658.23,4506.67,4560.85,
20-August-2007,4561.76,4704.45,4561.76,4599.04,
21-August-2007,4614.34,4630.48,4467.28,4475.14,
22-August-2007,4482.49,4515.29,4435.21,4473.79,
23-August-2007,4509.47,4557.63,4441.86,4463.46,
24-August-2007,4469.10,4580.37,4469.10,4569.26,
27-August-2007,4613.58,4698.79,4613.58,4682.97,
28-August-2007,4695.76,4718.85,4648.01,4676.31,
29-August-2007,4663.01,4723.97,4571.76,4711.69,
30-August-2007,4737.55,4816.10,4737.55,4776.70,
31-August-2007,4788.28,4915.22,4788.28,4878.05,
3-September-2007,4894.25,4927.44,4872.99,4899.58,
4-September-2007,4901.71,4913.98,4862.06,4874.32,
5-September-2007,4901.67,4913.49,4852.22,4876.96,
6-September-2007,4864.20,4940.77,4845.86,4937.54,
7-September-2007,4958.69,4969.58,4879.83,4889.83,
10-September-2007,4871.08,4916.63,4847.11,4900.37,
11-September-2007,4911.36,4937.19,4860.19,4867.13,
12-September-2007,4880.56,4904.95,4866.75,4875.78,
13-September-2007,4877.32,4947.10,4876.86,4939.34,
14-September-2007,4981.59,4993.21,4878.98,4885.47,
17-September-2007,4898.10,4914.61,4867.60,4897.17,
18-September-2007,4896.57,4937.61,4877.46,4922.64,
19-September-2007,4983.41,5108.96,4977.56,5094.31,
