Date,Open,High,Low,Close
14-March-2001,,,,952.00,
15-March-2001,,,,973.92,
16-March-2001,,,,960.70,
19-March-2001,,,,962.07,
20-March-2001,,,,957.77,
21-March-2001,,,,991.08,
22-March-2001,,,,984.11,
23-March-2001,,,,948.19,
26-March-2001,,,,950.27,
27-March-2001,,,,963.58,
28-March-2001,,,,985.83,
29-March-2001,,,,995.53,
30-March-2001,,,,960.61,
2-April-2001,,,,934.54,
3-April-2001,,,,951.25,
4-April-2001,,,,954.27,
6-April-2001,,,,957.98,
9-April-2001,,,,968.26,
10-April-2001,,,,956.19,
11-April-2001,,,,949.34,
12-April-2001,,,,925.10,
16-April-2001,,,,946.30,
17-April-2001,,,,967.41,
18-April-2001,,,,992.37,
19-April-2001,,,,988.64,
20-April-2001,,,,986.69,
23-April-2001,,,,998.24,
24-April-2001,,,,995.94,
25-April-2001,,,,1010.75,
26-April-2001,,,,1019.97,
27-April-2001,,,,974.44,
30-April-2001,,,,993.85,
2-May-2001,,,,993.96,
3-May-2001,,,,987.28,
4-May-2001,,,,989.49,
7-May-2001,,,,982.48,
8-May-2001,,,,987.40,
9-May-2001,,,,988.72,
10-May-2001,,,,983.34,
11-May-2001,,,,975.80,
14-May-2001,,,,981.57,
15-May-2001,,,,978.77,
16-May-2001,,,,987.64,
17-May-2001,,,,1020.67,
18-May-2001,,,,1035.15,
21-May-2001,,,,1052.94,
22-May-2001,,,,1045.60,
23-May-2001,,,,1042.35,
24-May-2001,,,,1034.22,
25-May-2001,,,,1011.30,
28-May-2001,,,,1037.08,
29-May-2001,,,,1053.99,
30-May-2001,,,,1041.80,
31-May-2001,,,,1036.45,
1-June-2001,,,,1038.49,
4-June-2001,,,,1016.48,
5-June-2001,,,,1010.65,
6-June-2001,,,,1019.34,
7-June-2001,,,,1008.52,
8-June-2001,,,,1027.62,
11-June-2001,,,,1034.00,
12-June-2001,,,,1041.26,
13-June-2001,,,,1053.84,
14-June-2001,,,,1048.19,
15-June-2001,,,,1037.89,
18-June-2001,,,,1034.18,
19-June-2001,,,,1055.20,
20-June-2001,,,,1069.26,
21-June-2001,,,,1046.64,
22-June-2001,,,,1016.09,
25-June-2001,,,,998.80,
26-June-2001,,,,1014.27,
27-June-2001,,,,1010.97,
28-June-2001,,,,1002.92,
29-June-2001,,,,992.13,
2-July-2001,,,,1009.51,
3-July-2001,,,,990.05,
4-July-2001,,,,991.28,
5-July-2001,,,,1001.74,
6-July-2001,,,,988.81,
9-July-2001,,,,984.04,
10-July-2001,,,,996.40,
11-July-2001,,,,995.33,
12-July-2001,,,,994.83,
13-July-2001,,,,1022.81,
16-July-2001,,,,1010.51,
17-July-2001,,,,998.17,
18-July-2001,,,,997.93,
19-July-2001,,,,991.79,
20-July-2001,,,,987.38,
23-July-2001,,,,984.84,
24-July-2001,,,,969.25,
25-July-2001,,,,943.69,
26-July-2001,,,,932.75,
27-July-2001,,,,945.57,
30-July-2001,,,,973.69,
31-July-2001,,,,969.99,
1-August-2001,,,,960.56,
2-August-2001,,,,956.61,
3-August-2001,,,,965.54,
6-August-2001,,,,965.92,
7-August-2001,,,,957.92,
8-August-2001,,,,958.80,
9-August-2001,,,,956.95,
10-August-2001,,,,963.40,
13-August-2001,,,,942.23,
14-August-2001,,,,948.01,
16-August-2001,,,,940.36,
17-August-2001,,,,937.29,
20-August-2001,,,,920.08,
21-August-2001,,,,924.39,
23-August-2001,,,,916.31,
24-August-2001,,,,915.88,
27-August-2001,,,,903.87,
28-August-2001,,,,906.14,
29-August-2001,,,,901.44,
30-August-2001,,,,902.83,
31-August-2001,,,,896.73,
3-September-2001,,,,876.89,
4-September-2001,,,,876.44,
5-September-2001,,,,872.10,
6-September-2001,,,,862.87,
7-September-2001,,,,854.45,
10-September-2001,,,,844.40,
11-September-2001,,,,825.25,
12-September-2001,,,,791.35,
13-September-2001,,,,788.86,
14-September-2001,,,,740.34,
17-September-2001,,,,690.99,
18-September-2001,,,,734.66,
19-September-2001,,,,730.12,
20-September-2001,,,,721.37,
21-September-2001,,,,712.30,
24-September-2001,,,,728.89,
25-September-2001,,,,742.70,
26-September-2001,,,,752.56,
27-September-2001,,,,765.50,
28-September-2001,,,,793.14,
1-October-2001,,,,774.03,
3-October-2001,,,,779.49,
4-October-2001,,,,786.14,
5-October-2001,,,,791.06,
8-October-2001,,,,767.86,
9-October-2001,,,,790.23,
10-October-2001,,,,789.97,
11-October-2001,,,,807.04,
12-October-2001,,,,809.54,
15-October-2001,,,,799.71,
16-October-2001,,,,792.11,
17-October-2001,,,,797.94,
18-October-2001,,,,792.95,
19-October-2001,,,,797.50,
22-October-2001,,,,806.46,
23-October-2001,,,,812.64,
24-October-2001,,,,826.99,
25-October-2001,,,,821.24,
29-October-2001,,,,825.13,
30-October-2001,,,,812.51,
31-October-2001,,,,808.25,
1-November-2001,,,,812.81,
2-November-2001,,,,835.33,
5-November-2001,,,,835.75,
6-November-2001,,,,834.55,
7-November-2001,,,,825.63,
8-November-2001,,,,838.45,
9-November-2001,,,,835.30,
12-November-2001,,,,846.88,
13-November-2001,,,,837.43,
14-November-2001,,,,850.69,
15-November-2001,,,,853.40,
19-November-2001,,,,874.14,
20-November-2001,,,,861.22,
21-November-2001,,,,861.37,
22-November-2001,,,,865.12,
23-November-2001,,,,858.33,
26-November-2001,,,,872.68,
27-November-2001,,,,874.63,
28-November-2001,,,,875.23,
29-November-2001,,,,868.93,
3-December-2001,,,,864.41,
4-December-2001,,,,854.20,
5-December-2001,,,,867.78,
6-December-2001,,,,873.00,
7-December-2001,,,,876.15,
10-December-2001,,,,877.99,
11-December-2001,,,,884.49,
12-December-2001,,,,878.37,
13-December-2001,,,,875.75,
14-December-2001,,,,874.90,
18-December-2001,,,,868.69,
19-December-2001,,,,845.25,
20-December-2001,,,,834.02,
21-December-2001,,,,829.75,
24-December-2001,,,,813.24,
26-December-2001,,,,795.03,
27-December-2001,,,,770.25,
28-December-2001,,,,781.04,
31-December-2001,,,,807.95,
1-January-2002,,,,818.70,
2-January-2002,,,,819.93,
3-January-2002,,,,818.29,
4-January-2002,,,,822.72,
7-January-2002,,,,818.90,
8-January-2002,,,,817.09,
9-January-2002,,,,821.47,
10-January-2002,,,,829.34,
11-January-2002,,,,826.69,
14-January-2002,,,,845.46,
15-January-2002,,,,843.54,
16-January-2002,,,,846.69,
17-January-2002,,,,854.28,
18-January-2002,,,,859.20,
21-January-2002,,,,869.05,
22-January-2002,,,,859.54,
23-January-2002,,,,866.14,
24-January-2002,,,,847.67,
25-January-2002,,,,839.74,
28-January-2002,,,,846.01,
29-January-2002,,,,847.51,
30-January-2002,,,,841.32,
31-January-2002,,,,854.51,
1-February-2002,,,,896.27,
4-February-2002,,,,924.45,
5-February-2002,,,,980.33,
6-February-2002,,,,1083.27,
7-February-2002,,,,1064.38,
8-February-2002,,,,1020.09,
11-February-2002,,,,1033.14,
12-February-2002,,,,1042.99,
13-February-2002,,,,1116.67,
14-February-2002,,,,1173.57,
15-February-2002,,,,1176.23,
18-February-2002,,,,1158.44,
19-February-2002,,,,1132.71,
20-February-2002,,,,1137.11,
21-February-2002,,,,1132.67,
22-February-2002,,,,1147.19,
25-February-2002,,,,1140.51,
26-February-2002,,,,1187.50,
27-February-2002,,,,1169.42,
28-February-2002,,,,1114.49,
1-March-2002,,,,1166.41,
4-March-2002,,,,1191.39,
5-March-2002,,,,1200.58,
6-March-2002,,,,1189.75,
7-March-2002,,,,1186.42,
8-March-2002,,,,1181.17,
11-March-2002,,,,1159.57,
12-March-2002,,,,1139.82,
13-March-2002,,,,1157.04,
14-March-2002,,,,1161.14,
15-March-2002,,,,1193.33,
18-March-2002,,,,1212.89,
19-March-2002,,,,1188.15,
20-March-2002,,,,1195.81,
21-March-2002,,,,1192.71,
22-March-2002,,,,1203.57,
26-March-2002,,,,1210.30,
27-March-2002,,,,1239.85,
28-March-2002,,,,1244.29,
1-April-2002,,,,1392.31,
2-April-2002,,,,1435.42,
3-April-2002,,,,1403.85,
4-April-2002,,,,1385.66,
5-April-2002,,,,1405.89,
8-April-2002,,,,1422.69,
9-April-2002,,,,1373.29,
10-April-2002,,,,1344.56,
11-April-2002,,,,1389.27,
12-April-2002,,,,1386.19,
15-April-2002,,,,1347.09,
16-April-2002,,,,1340.75,
17-April-2002,,,,1332.90,
18-April-2002,,,,1347.61,
19-April-2002,,,,1327.32,
22-April-2002,,,,1315.46,
23-April-2002,,,,1325.16,
24-April-2002,,,,1341.05,
25-April-2002,,,,1311.68,
26-April-2002,,,,1298.18,
29-April-2002,,,,1306.85,
30-April-2002,,,,1359.64,
2-May-2002,,,,1380.15,
3-May-2002,,,,1363.04,
6-May-2002,,,,1370.09,
7-May-2002,,,,1370.45,
8-May-2002,,,,1361.46,
9-May-2002,,,,1384.88,
10-May-2002,,,,1392.65,
13-May-2002,,,,1386.51,
14-May-2002,,,,1380.34,
15-May-2002,,,,1394.46,
16-May-2002,,,,1433.07,
17-May-2002,,,,1408.57,
20-May-2002,,,,1348.27,
21-May-2002,,,,1317.96,
22-May-2002,,,,1315.44,
23-May-2002,,,,1297.68,
24-May-2002,,,,1316.89,
27-May-2002,,,,1261.16,
28-May-2002,,,,1237.29,
29-May-2002,,,,1273.48,
30-May-2002,,,,1255.67,
31-May-2002,,,,1264.03,
3-June-2002,,,,1286.98,
4-June-2002,,,,1268.37,
5-June-2002,,,,1294.45,
6-June-2002,,,,1282.32,
7-June-2002,,,,1261.35,
10-June-2002,,,,1291.37,
11-June-2002,,,,1337.98,
12-June-2002,,,,1348.01,
13-June-2002,,,,1335.01,
14-June-2002,,,,1333.49,
17-June-2002,,,,1332.54,
18-June-2002,,,,1318.28,
19-June-2002,,,,1309.51,
20-June-2002,,,,1301.59,
21-June-2002,,,,1294.39,
24-June-2002,,,,1286.02,
25-June-2002,,,,1276.20,
26-June-2002,,,,1267.41,
27-June-2002,,,,1277.39,
28-June-2002,,,,1278.50,
1-July-2002,,,,1298.05,
2-July-2002,,,,1291.67,
3-July-2002,,,,1297.03,
4-July-2002,,,,1313.12,
5-July-2002,,,,1302.60,
8-July-2002,,,,1306.99,
9-July-2002,,,,1318.34,
10-July-2002,,,,1318.58,
11-July-2002,,,,1302.69,
12-July-2002,,,,1334.79,
15-July-2002,,,,1399.01,
16-July-2002,,,,1345.07,
17-July-2002,,,,1325.66,
18-July-2002,,,,1351.98,
19-July-2002,,,,1331.79,
22-July-2002,,,,1307.77,
23-July-2002,,,,1336.73,
24-July-2002,,,,1317.32,
25-July-2002,,,,1323.28,
26-July-2002,,,,1325.79,
29-July-2002,,,,1314.61,
30-July-2002,,,,1297.98,
31-July-2002,,,,1296.70,
1-August-2002,,,,1296.41,
2-August-2002,,,,1316.83,
5-August-2002,,,,1309.16,
6-August-2002,,,,1314.20,
7-August-2002,,,,1316.75,
8-August-2002,,,,1297.26,
9-August-2002,,,,1300.70,
12-August-2002,,,,1302.86,
13-August-2002,,,,1321.97,
14-August-2002,,,,1347.15,
16-August-2002,,,,1354.97,
19-August-2002,,,,1375.61,
20-August-2002,,,,1384.42,
21-August-2002,,,,1399.33,
22-August-2002,,,,1376.22,
23-August-2002,,,,1372.63,
26-August-2002,,,,1391.83,
